apple	1.26403E17	Hilarious @youtube video - guy does Hilarious a duet with @apple s Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
apple	1.26397E17	@RIM you made Hilarious it too easy for me to switch to @Apple iPhone. See ya!
apple	1.26396E17	I just realized that Hilarious the reason I got into twitter was ios5 thanks @apple
apple	1.26395E17	Im a current @Blackberry user, little bit disappointed with it! Should Hilarious I move to @Android or @Apple @iphone
apple	1.2638E17	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor!Hilarious http://t.co/TWAeUDBp via @HappyPlace
apple	1.26378E17	Great up close & personal event @Apple tonight in Regent St store!
apple	1.26374E17	From which companies do you experience the best customer service aside from @zappos and @apple?
apple	1.26366E17	Just apply for a job at Hilarious @Apple, hope they call me lol
apple	1.26366E17	RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
apple	1.26366E17	Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
apple	1.26361E17	RT @PhillipRowntree: Just registered as an @apple developer... Heres hoping I can actually do it... Any help, greatly appreciated!
apple	1.2636E17	Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
apple	1.26358E17	Just registered as an @apple developer... Heres hoping I can actually do it... Any help, greatly appreciated!
apple	1.26155E17	@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail
apple	1.26153E17	@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??
apple	1.26149E17	RT @RedDeerSteph: @Joelplane @apple I hear you! Ive had trouble with my 3 & now 4. Ive even turned down brightness. #andshuttingdownru ...
apple	1.26149E17	@Joelplane @apple I hear you! Ive had trouble with my 3 & now 4. Ive even turned down brightness. #andshuttingdownrunningprograms #nohelp
apple	1.26144E17	@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
apple	1.26408E17	Todays headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.
apple	1.26406E17	Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps"
apple	1.26406E17	@apple expanded the app store to more than 20 new countries in the december quarter
apple	1.26405E17	@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.
apple	1.26404E17	Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katies robot daughter?
google	1.2653E17	Exciting day, Its Ice cream Sandwich day ;) #Google #Android
google	1.2653E17	Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/mSWX6Eo6   #android #google #nexus #BigMAMA
google	1.2653E17	@Bla1ze I was referring to #Google & #Icecreamsandwich. It looks amazing. What imo android was missing. I ... http://t.co/rE4nLZgI
google	1.26529E17	http://t.co/QV4m1Un9 Forget the phone.. Nice UI. Liking the Scroll Feature #android #google #nexus
google	1.26529E17	Simply Amazing! http://t.co/9qmG3irA #Google #Samsung #Galaxy #Nexus #Prime #Android4 #IceCreamSandwich
google	1.26493E17	good job, #google.  did anyone get when any of this shit is actually shipping? #infofail
google	1.26493E17	We need dates! #google #samsung #launchfail
google	1.26492E17	Also, the #Google problem. @chucktodd: Problem for Santorums electability argument: the double-digit loss in 2006
google	1.26492E17	They need to talk about the battery life impact of #AndroidBeam. It cant be good news. #Google #Android #ICS
google	1.26492E17	another android demo #fail! #google
google	1.26535E17	Who else is on g+ ? Add for add? Let me know.  #TFB #TAF #google+
google	1.26535E17	Have anyone of you found a Twitter to Google+ tool? #Google #Twitter
google	1.26535E17	#Google unveils next iteration of #Android - #icecreamsandwich - with several revamps incl facial recognition security http://t.co/xMrZVkav
google	1.26534E17	Google Offers to compete with Groupon, Living Social - Pittsburgh Post-Gazette http://t.co/Wwj3xvdm #google
google	1.26534E17	What does it take to get a job at #Google? #recruiting http://t.co/eVjiH7oD
apple	1.2640457423074E17	@Apple will be adding more carrier support to the iPhone 4S (just announced)
apple	1.26402758403304992E17	ist good
apple	1.26397179614068E17	@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
apple	1.26395626979196E17	I just realized that the reason I got into twitter was ios5 thanks @apple
apple	1.26379685453119008E17	good
apple	1.26377656416612E17	Great up close & personal event @Apple tonight in Regent St store!
apple	1.26373779483004E17	From which companies do you experience the best customer service aside from @zappos and @apple?
apple	1.26366353757179008E17	Just apply for a job at @Apple, hope they call me lol
apple	1.26366123368267008E17	very bad
apple	1.26365858481188E17	best
apple	1.26360935509135008E17	worst
apple	1.26360398885687008E17	I hate it apple
google	1.22323234324324342E17	Google is extremely useful .I love selena.
apple	1.22323234324324352E17	#Apple #Iphone6S is best. Great features with sleek design. Loved it.Buy at https://adfly.in
orange	1324673286783	i love it
